,HIGH.gnomad_001,HIGH.gnomad_001_01,HIGH.gnomad_01_1,MODERATE.gnomad_001,MODERATE.gnomad_001_01,MODERATE.gnomad_01_1,LOW.gnomad_001,LOW.gnomad_001_01,LOW.gnomad_01_1,MODIFIER.gnomad_001,MODIFIER.gnomad_001_01,MODIFIER.gnomad_01_1
FSCN2,0,1,0,1,8,13,0,1,21,0,1,1
FTCD,0,0,10,2,5,14,0,1,4,1,1,7
FTO,1,0,0,1,3,3,0,0,0,1,0,2
FUS,0,1,0,0,1,1,2,2,4,3,8,17
FYCO1,3,0,0,1,8,14,0,1,3,0,0,0
GAL3ST2,0,1,8,1,3,11,0,0,0,0,0,0
GALC,0,2,0,3,0,5,0,0,10,0,1,7
GALNT5,0,0,0,0,1,7,0,2,0,0,0,0
GALNT8,1,0,0,1,2,8,0,0,0,1,0,0
GALNT9,1,1,0,4,0,7,1,1,6,0,0,2
GALNTL5,1,0,0,1,0,2,0,0,1,1,0,0
GDF1,0,0,2,0,0,0,1,4,2,0,0,0
GEMIN4,1,0,0,0,4,25,2,0,1,0,0,0
GH2,0,0,4,0,0,0,1,0,0,0,0,3
GIPR,0,0,1,0,5,10,1,0,4,0,0,0
GJA5,1,0,0,0,0,1,0,0,1,0,0,0
GJB2,0,1,25,0,1,1,0,0,1,1,0,12
GJB4,0,0,3,0,0,6,0,0,3,0,0,0
GJC2,1,0,0,0,0,6,1,2,0,0,0,6
GJC3,0,2,0,0,0,8,0,0,0,0,0,0
GLP1R,1,0,0,0,3,10,1,4,16,0,0,0
GMPPA,0,1,0,1,1,5,0,1,4,1,1,0
GNA14,0,1,0,0,0,18,0,1,2,0,0,0
GNPTAB,2,1,0,2,3,0,0,0,7,0,0,0
GNRHR,1,0,0,0,2,6,0,1,0,0,0,0
GP1BA,0,1,0,0,7,1,0,1,0,0,0,1
GPI,0,0,1,0,1,1,0,0,6,0,0,0
GPNMB,0,0,1,4,3,8,0,1,3,0,0,0
GPR152,0,0,1,5,1,12,0,2,0,0,0,2
GPR179,0,0,2,7,2,15,4,0,16,0,0,1
GPR68,0,0,5,0,2,5,2,1,0,0,0,0
GPRC5A,0,0,9,1,0,1,0,1,4,0,0,0
GRK1,0,0,1,0,1,27,0,2,31,0,0,0
GRM6,1,0,0,2,3,13,1,5,37,0,0,3
GSR,1,0,0,3,0,2,1,0,0,0,0,3
GSTM4,0,0,2,1,0,2,0,1,0,0,0,0
GTF2H3,0,0,2,0,0,0,0,0,2,0,0,0
GUCY1A2,1,0,0,1,0,1,0,1,3,0,0,0
GUCY2D,0,0,2,2,5,4,2,0,1,0,0,1
GYG1,0,1,0,3,0,9,0,0,0,0,0,0
GYG2,2,0,0,1,0,0,0,2,0,0,0,0
GYS2,1,0,0,0,0,10,1,1,0,0,0,0
H2BFWT,0,4,0,0,2,3,0,2,0,0,0,0
HAL,0,1,0,2,0,15,0,1,0,0,0,13
HELQ,0,1,0,0,0,1,0,0,9,0,0,1
HGD,1,0,0,0,1,1,0,1,0,0,0,0
HIST1H4B,0,0,0,0,1,0,0,1,1,1,0,0
HIST3H3,0,0,1,1,0,0,0,0,0,0,0,0
HLA-DRB1,79,10,0,2,242,151,0,30,57,13,9,12
HLA-DRB5,42,65,72,27,106,319,46,85,73,73,2,0
HLCS,1,0,0,4,2,9,1,0,4,0,0,1
HLTF,0,1,1,0,3,3,0,0,8,0,0,0
HPGD,0,3,0,0,0,1,0,0,1,0,0,0
HPS1,1,0,0,1,12,8,1,3,9,3,0,0
HRC,0,0,0,4,2,6,1,0,2,0,0,0
HRG,0,3,0,1,0,19,0,0,22,0,0,0
HSD17B2,0,3,2,0,1,4,0,0,4,0,0,0
HTR6,1,0,0,2,0,12,0,5,4,0,0,0
HTT,0,2,0,3,4,9,7,7,32,0,1,2
HYDIN,1,0,0,142,7,1031,763,599,27,309,1,5
HYLS1,0,1,0,0,0,1,0,0,0,0,0,0
IBA57,1,0,0,2,0,0,1,0,0,0,1,1
ICAM4,0,0,6,1,0,0,0,1,2,0,0,2
IDE,1,0,0,3,2,0,1,2,4,1,0,3
IDH3B,0,1,0,0,1,0,1,2,4,0,0,2
IDO1,1,0,0,1,0,1,0,0,2,0,0,1
IDUA,0,0,1,0,3,17,0,2,11,0,0,1
IFIH1,1,2,7,0,5,6,1,2,1,0,0,3
IFITM3,2,0,0,0,0,0,0,0,0,0,0,0
IFT43,0,0,1,0,0,0,0,1,1,0,0,1
IGLL1,0,1,0,0,2,1,0,0,7,0,0,0
IGSF3,180,0,0,694,219,373,259,330,202,0,0,15
IL17F,1,0,0,0,0,0,0,0,0,0,0,0
ILDR1,2,0,0,0,3,4,2,2,4,0,0,1
IMPDH2,1,0,0,0,1,0,0,0,0,0,0,0
INPP5B,0,0,1,0,0,0,0,0,6,0,0,0
INS-IGF2,1,0,0,2,0,0,0,0,0,0,0,0
INSL3,0,1,0,0,0,2,0,0,0,1,0,0
INSL6,0,0,8,2,1,3,0,0,0,0,0,6
IQCE,0,0,12,2,3,19,3,4,0,0,0,0
IQGAP3,0,4,1,4,3,5,2,4,7,0,0,0
IRF5,2,0,0,2,0,0,1,1,1,1,0,0
ITGA1,1,0,0,0,3,1,0,2,9,0,0,0
ITGA2B,1,0,0,4,0,2,1,0,4,0,0,1
ITIH6,0,0,3,6,5,13,0,0,1,0,0,0
ITSN2,0,0,7,0,2,17,1,2,0,0,0,1
JMJD7-PLA2G4B,1,0,5,2,3,6,4,2,13,0,0,0
