,HIGH.gnomad_001,HIGH.gnomad_001_01,HIGH.gnomad_01_1,MODERATE.gnomad_001,MODERATE.gnomad_001_01,MODERATE.gnomad_01_1,LOW.gnomad_001,LOW.gnomad_001_01,LOW.gnomad_01_1,MODIFIER.gnomad_001,MODIFIER.gnomad_001_01,MODIFIER.gnomad_01_1
CXCR3,0,0,5,0,1,0,1,1,0,0,2,0
CYP1A1,0,0,1,1,2,13,0,1,1,0,0,0
CYP1A2,0,2,0,5,2,1,0,0,0,0,0,0
CYP21A2,0,1,0,0,5,4,0,0,10,0,0,0
CYP26C1,0,0,3,0,1,4,1,0,3,0,0,0
CYP27A1,0,1,0,1,3,1,4,0,0,0,0,0
CYP2D6,0,2,0,0,2,9,2,0,16,0,2,2
CYP2R1,1,0,0,0,3,2,0,0,9,1,0,0
CYP3A5,0,1,0,1,0,1,0,0,1,0,0,0
CYP4A11,0,1,1,0,3,8,0,2,0,0,0,1
CYP4A22,0,0,1,1,4,5,0,0,2,0,0,0
CYP4F12,0,1,0,2,1,13,0,0,3,0,0,1
CYP4F2,1,0,0,0,4,1,3,1,1,0,0,0
CYP4V2,0,0,1,1,1,2,0,0,2,0,0,0
CYP7A1,0,1,0,0,14,2,0,0,0,0,0,0
DAOA,1,0,0,0,1,1,0,1,0,0,0,1
DARS2,0,0,5,2,3,0,4,2,2,0,0,6
DBH,1,0,0,0,5,8,1,2,0,0,0,0
DCBLD1,0,3,0,0,2,7,0,0,3,0,0,0
DCLRE1A,0,0,3,2,3,4,0,2,3,0,0,0
DCLRE1B,0,1,0,1,0,2,0,0,0,0,0,0
DDX58,0,3,0,1,2,0,0,1,2,0,0,2
DEK,1,0,0,0,1,0,0,2,2,0,0,0
DHCR7,0,0,5,3,1,1,1,1,17,0,0,2
DIAPH1,0,0,1,3,1,24,3,3,0,0,1,0
DIAPH3,3,0,0,7,2,30,1,0,13,0,0,1
DKK3,6,0,0,0,1,0,0,0,1,0,1,1
DLD,1,0,0,0,1,0,0,0,1,0,0,1
DLEC1,1,0,0,8,9,11,1,0,5,0,0,9
DLST,1,0,0,1,1,0,0,1,0,0,0,0
DMGDH,1,0,1,2,0,5,1,1,5,0,0,0
DNA2,1,0,0,1,1,9,2,0,0,0,2,0
DNAH11,1,0,1,5,13,24,7,9,47,4,1,19
DNAH3,3,1,0,5,7,31,2,1,25,0,0,1
DNAH5,0,0,0,12,14,46,4,5,12,0,1,1
DNAH7,1,0,2,10,5,29,0,3,18,0,0,0
DNAH9,1,0,1,9,16,40,5,9,50,1,0,2
DNAI1,0,1,0,0,1,1,0,0,0,0,0,0
DNASE1,0,1,0,1,3,11,0,3,0,0,0,0
DNASE1L3,0,1,0,0,1,0,0,0,0,0,0,0
DOCK6,0,1,0,8,5,23,3,9,28,0,0,0
DOK7,0,0,5,1,1,0,1,3,8,0,0,0
DRC1,0,1,0,0,3,19,1,2,0,0,0,4
DRD5,0,0,1,0,2,1,1,0,0,0,0,0
DSG3,0,0,1,3,2,3,0,3,2,0,0,0
DTNB,1,0,0,0,0,13,0,0,1,0,0,0
DUOX1,1,0,3,8,2,7,2,0,5,0,0,0
DUOX2,0,0,1,3,7,29,0,3,6,0,0,0
DYM,1,0,0,2,0,4,2,0,7,0,0,1
DYNAP,1,0,0,0,1,0,0,0,2,0,0,0
DYX1C1,0,2,0,0,1,1,0,1,0,0,0,2
EARS2,1,0,0,0,0,5,3,0,4,0,1,1
ECI1,0,1,0,0,1,5,0,0,2,0,2,0
ECM1,1,0,0,2,7,0,0,2,1,0,0,0
EDN3,0,0,5,0,0,0,1,0,0,0,0,0
EEF1AKMT4-ECE2,1,0,0,0,4,1,0,0,11,2,0,0
EFCAB13,0,0,1,1,0,0,0,0,6,0,1,0
EFCAB5,0,1,3,0,1,17,0,1,3,0,1,1
EFHC1,0,1,0,5,1,4,1,1,1,4,5,49
EHHADH,1,0,0,0,4,8,0,14,1,0,0,0
EIF2AK4,1,0,0,2,2,2,2,0,1,0,0,0
ELAC2,0,1,0,4,2,0,0,0,3,0,2,0
ELOA2,0,0,2,1,3,35,1,0,2,0,0,0
EME2,0,2,0,0,3,4,1,0,4,0,0,0
