,HIGH.gnomad_001,HIGH.gnomad_001_01,HIGH.gnomad_01_1,MODERATE.gnomad_001,MODERATE.gnomad_001_01,MODERATE.gnomad_01_1,LOW.gnomad_001,LOW.gnomad_001_01,LOW.gnomad_01_1,MODIFIER.gnomad_001,MODIFIER.gnomad_001_01,MODIFIER.gnomad_01_1
ASNS,2,0,0,5,9,17,1,4,16,2,2,0
ASPM,7,3,0,70,72,123,51,20,94,2,7,4
ASPN,0,9,18,7,1,27,11,27,37,2,0,2
ASPRV1,0,1,0,11,12,1,0,5,8,2,2,95
ASPSCR1,0,1,13,11,27,90,35,64,128,0,13,1
ASS1,3,0,0,24,3,4,26,40,212,2,1,5
ASXL1,3,0,0,39,42,132,23,12,13,0,5,1
ATAD3A,5,0,0,24,20,353,5,18,129,2,0,13
ATAD3B,9,12,0,19,48,122,5,54,320,0,0,1
ATF5,1,6,0,2,10,139,0,1,101,0,0,0
ATG16L2,0,1,0,2,0,0,0,0,0,0,1,3
ATG4C,0,0,2,0,0,4,0,0,0,0,0,0
ATG7,0,2,0,5,21,78,5,6,0,1,3,0
ATIC,0,1,0,11,26,14,3,16,179,1,0,14
ATM,9,3,0,57,173,314,33,22,252,5,6,30
ATN1,1,0,2,48,20,135,120,13,79,0,0,2
ATP10D,6,0,1,11,39,62,20,1,23,1,0,22
ATP11A,0,1,0,0,0,3,0,0,0,0,0,5
ATP13A2,1,3,0,34,76,76,10,16,228,4,16,104
ATP13A4,2,0,0,68,18,17,24,22,69,2,2,2
ATP13A5,4,0,143,15,16,199,18,31,3,0,0,0
ATP1A2,1,0,0,2,1,107,17,30,14,10,9,11
ATP2A1,1,4,1,19,14,30,11,20,141,4,1,0
ATP2A3,1,0,0,29,30,165,30,34,292,0,2,6
ATP5I,1,0,0,0,4,0,2,1,30,0,0,0
ATP5J2-PTCD1,3,2,2,5,50,65,8,23,81,0,0,8
ATP6V0A2,4,0,0,17,16,27,26,6,49,0,1,0
ATP6V0A4,1,0,0,26,43,17,10,11,95,1,6,0
ATP6V1B1,6,0,0,42,38,7,7,8,8,0,5,6
ATP7B,1,6,0,33,109,234,24,18,256,3,1,34
ATP8B1,1,0,0,61,18,398,2,12,396,5,1,5
ATP8B3,1,0,0,0,0,2,0,0,3,0,0,1
ATR,2,1,0,24,36,268,18,9,531,2,57,18
ATRIP,27,0,0,16,18,74,18,19,28,1,11,14
ATRNL1,1,2,0,13,8,24,3,17,6,0,3,4
ATXN10,1,0,0,15,27,11,1,14,166,0,2,226
ATXN2,0,0,2,43,17,45,11,4,65,5,1,17
ATXN3L,0,0,83,6,3,14,0,11,1,0,0,0
ATXN7,0,0,4,18,10,109,10,11,166,22,22,20
AUH,0,3,0,4,10,6,15,1,5,1,0,31
AURKC,0,4,0,1,3,3,0,2,10,32,0,3
B3GALNT1,0,0,3,7,0,0,0,5,1,0,0,2
B3GALNT2,1,0,0,11,3,6,9,4,10,1,2,1
B3GALT1,1,0,0,21,8,2,0,6,0,0,0,1
B3GLCT,0,0,22,13,10,16,6,1,84,1,0,0
B3GNT3,7,0,0,4,6,96,1,1,44,0,0,0
B3GNT4,2,0,7,15,31,9,2,23,39,26,56,71
B3GNT6,2,0,0,10,12,17,0,11,78,0,0,0
B3GNT8,0,0,1,31,11,14,13,4,3,0,1,0
B4GALNT1,0,2,0,24,19,22,2,49,46,10,55,351
B4GALNT2,0,1,0,15,41,91,5,18,44,0,2,0
B4GALNT3,1,15,0,17,22,96,39,21,98,1,1,0
B4GALT7,0,1,32,9,18,27,1,0,27,0,0,8
BAAT,1,0,0,19,6,593,3,3,70,1,0,0
BANK1,9,12,0,27,10,115,7,23,62,1,2,6
BAP1,1,0,0,9,14,3,24,13,153,1,1,31
BARD1,12,9,0,20,36,95,24,14,69,0,3,0
BAX,0,2,0,6,9,0,1,1,11,11,0,3
BBS1,0,11,0,17,14,67,5,30,1,1,2,2
BBS10,2,0,8,25,27,3,2,3,0,0,0,0
BBS2,3,3,0,23,5,78,14,7,67,0,0,6
BBS5,2,0,0,3,1,54,1,0,0,1,0,2
BBS7,0,6,0,4,13,10,14,8,7,11,0,5
BBS9,8,4,0,8,12,17,1,7,3,0,7,10
BCAT1,1,0,0,3,3,280,3,1,4,0,0,13
BCAT2,0,7,0,21,3,52,1,6,186,3,0,0
BCHE,8,0,3,11,0,152,4,13,5,1,2,0
BCKDK,1,0,0,16,8,3,5,8,2,0,0,14
BCL10,0,1,0,0,0,13,3,0,1,0,0,0
BCL2A1,1,0,0,1,5,0,2,7,6,0,0,7
BCL9,0,2,0,28,101,102,20,5,45,0,2,0
BCLAF1,0,3,0,3,2,12,9,5,19,2,0,39
BCO1,4,0,0,18,11,45,15,26,23,2,4,3
BCR,435,0,0,201,31,412,9,50,137,4,5,2
BCS1L,1,0,0,16,6,14,1,64,3,0,0,0
BDKRB2,2,0,0,6,29,120,3,8,14,2,3,0
BDNF,0,0,11,1,0,4,7,18,5,2,0,4
BDP1,1,1,0,34,172,291,20,36,92,0,0,3
BEST1,2,0,0,12,6,117,9,3,13,9,1,5
BHMT,0,1,0,37,2,117,0,3,0,0,0,3
